time(ms),cc1Val(0-127)
1698,8
1705,7
1712,6
1720,5
1728,5
1736,4
1744,3
1753,2
1760,1
1768,1
1775,0
1783,0
1790,1
1797,2
1804,3
1811,3
1818,4
1825,5
1833,6
1840,7
1848,9
1855,11
1862,14
1869,17
1876,21
1883,25
1890,30
1898,35
1906,41
1913,47
1920,53
1928,59
1935,65
1942,70
1949,74
1958,78
1965,81
1972,83
1979,86
1986,87
1994,87
2001,88
2009,86
2016,85
2024,83
2031,80
2038,77
2045,74
2053,71
2061,67
2069,62
2077,57
2084,52
2092,48
2099,43
2106,36
2114,31
2123,25
2131,20
2138,16
2145,12
2153,9
2160,7
2168,5
2176,3
2184,1
2192,1
2201,1
2208,2
2216,5
2224,8
2231,11
2238,14
2246,17
2253,21
2261,24
2268,27
2275,30
2283,31
2290,33
2297,35
2304,36
2311,38
2318,39
2325,41
2333,43
2341,45
2349,48
2357,51
2365,54
2373,57
2381,61
2389,64
2397,67
2404,71
2412,74
2420,77
2428,79
2436,81
2444,82
2451,82
2458,82
2466,81
2474,79
2482,77
2490,74
2497,72
2505,68
2513,64
2521,60
2530,55
2537,51
2544,45
2551,40
2558,35
2565,29
2572,25
2579,19
2586,15
2593,11
2601,8
2609,4
2617,1
2625,0
2632,2
2639,3
2647,5
2654,6
2662,7
2670,8
2678,8
2686,10
2693,12
2701,14
2709,16
2717,20
2725,25
2733,30
2741,36
2749,42
2757,50
2765,57
2773,65
2781,74
2789,83
2797,91
2805,98
2814,104
2822,110
2829,115
2837,118
2845,120
2853,119
2860,117
2868,113
2876,108
2884,102
2892,96
2900,88
2908,81
2916,72
2923,64
2930,56
2938,50
2946,43
2954,39
2962,34
2970,30
2977,25
2984,22
2992,19
3000,16
3008,13
3016,10
3025,7
3033,4
3041,0
3049,4
3056,8
3063,11
3070,15
3078,19
3085,23
3092,26
3099,29
3106,33
3113,36
3121,40
3128,44
3137,48
3144,54
3152,60
3160,67
3168,73
3175,80
3183,86
3191,91
3198,95
3205,99
3213,100
3221,100
3229,97
3237,94
3244,89
3252,83
3259,77
3266,70
3273,63
3281,57
3288,50
3296,45
3304,40
3312,37
3320,33
3328,29
3336,26
3344,23
3352,19
3359,16
3367,13
3375,9
3382,5
3390,2
3398,1
3406,4
3413,6
3420,9
3427,11
3434,13
3442,15
3450,18
3457,21
3464,25
3472,30
3479,36
3487,45
3494,53
3502,64
3509,75
3517,87
3524,99
3532,109
3539,119
3546,127
3553,127
3561,127
3568,127
3575,127
3582,127
3589,121
3598,109
3605,96
3612,84
3619,71
3626,59
3633,47
3640,36
3647,25
3654,15
3662,7
3669,4
3676,12
3684,21
3691,33
3698,45
3705,58
3713,73
3720,86
3727,99
3734,111
3741,122
3749,127
3757,127
3765,127
3773,127
3780,127
3788,112
3796,94
3804,73
3813,49
3820,25
3828,1
3835,26
3844,52
3851,76
3858,95
3865,115
3872,124
3879,127
3886,127
3893,127
3901,127
3910,127
3917,127
3924,127
3931,110
3938,92
3945,72
3952,51
3959,31
3966,12
3973,7
3981,26
3989,42
3997,57
4006,69
4014,79
4023,89
4032,97
4041,105
4047,112
4054,120
4061,127
4068,127
4075,127
4082,124
4089,110
4096,95
4103,78
4110,62
4117,39
4125,16
4132,10
4140,35
4148,56
4155,77
4163,95
4171,108
4179,121
4187,127
4194,127
4201,127
4209,127
4217,127
4226,127
4234,110
4242,91
4251,71
4259,52
4267,34
4274,16
4282,1
4290,23
4298,36
4306,52
4314,64
4322,73
4330,82
4338,92
4346,101
4353,113
4361,124
4369,127
4377,127
4385,126
4393,113
4401,97
4409,74
4417,49
4424,23
4431,5
4438,33
4445,62
4452,85
4459,108
4467,126
4474,127
4481,127
4488,127
4496,127
4503,127
4510,127
4517,127
4524,121
4532,100
4539,79
4547,58
4554,39
4561,20
4568,2
4575,16
4582,34
4589,46
4596,59
4603,65
4610,73
4617,81
4625,90
4633,100
4641,111
4649,118
4657,125
4665,126
4673,121
4681,106
4689,91
4697,69
4705,45
4712,21
4720,6
4728,33
4736,57
4743,81
4751,101
4759,120
4767,127
4775,127
4782,127
4790,127
4798,127
4806,127
4815,123
4823,108
4830,89
4838,69
4846,51
4853,33
4861,16
4869,0
4877,16
4885,32
4893,43
4901,50
4909,60
4917,69
4925,78
4933,88
4941,99
4949,110
4957,121
4965,127
4973,127
4981,127
4989,116
4997,98
5004,74
5012,50
5020,24
5028,4
5036,33
5044,61
5051,86
5059,110
5066,127
5074,127
5082,127
5090,127
5097,127
5104,127
5112,120
5119,100
5126,77
5133,55
5141,36
5148,18
5156,1
5164,13
5172,28
5179,38
5186,38
5193,45
5200,47
5208,52
5215,59
5222,68
5229,80
5236,92
5243,105
5250,118
5257,127
5264,127
5271,127
5278,127
5286,127
5294,121
5302,104
5310,84
5318,60
5325,37
5333,12
5340,14
5347,40
5354,66
5362,88
5369,110
5376,123
5383,127
5391,127
5399,127
5408,127
5416,127
5424,127
5432,127
5439,116
5447,99
5456,81
5463,62
5471,45
5479,29
5487,17
5495,6
5503,2
5511,4
5519,4
5528,3
5536,1
5544,0
5552,1
5561,0
5568,1
5575,6
6007,4
6014,4
6022,4
6030,5
6038,5
6046,5
6055,6
6063,6
6072,6
6080,6
6088,6
6096,6
6103,6
6110,5
6117,5
6124,4
6131,4
6138,3
6145,3
6152,2
6159,2
6168,2
6175,2
6182,2
6191,2
6199,2
6208,2
6216,2
6223,2
6230,2
6237,2
6244,2
6251,2
6258,2
6265,1
6272,1
6279,1
6287,1
6296,0
6303,0
6311,0
6319,0
6327,0
6335,1
6343,1
6351,1
6359,1
6367,1
6375,1
6383,1
6391,1
6399,1
6406,1
6414,1
6422,1
6430,1
6439,1
6448,1
6456,1
6463,0
6470,0
6478,1
6485,1
6492,2
6499,2
6506,2
6513,3
6520,3
6527,2
6535,1
6542,0
6549,3
6556,6
6564,10
6571,15
6578,20
6585,24
6593,29
6600,18
6607,13
6614,9
6621,6
6628,4
6635,2
6642,1
6649,3
6656,4
6663,6
6670,8
6677,3
6684,7
6692,9
6698,10
6705,7
6712,6
6719,3
6727,1
6736,4
6744,7
6753,11
6761,11
6769,11
6776,11
6783,10
6790,9
6797,8
6804,8
6811,8
6818,8
6825,9
6832,9
6839,9
6847,9
6855,10
6862,10
6870,10
6878,11
6886,11
6893,11
6901,11
6908,12
6916,12
6923,12
6931,12
6939,12
6947,12
6955,11
6962,10
6970,8
6978,7
6986,4
6993,0
7001,4
7009,11
7018,18
7026,27
7033,35
7040,44
7047,39
7055,34
7063,35
7071,35
7079,34
7087,34
7095,30
7103,25
7111,17
7119,9
7126,0
7133,2
7140,5
7147,3
7154,0
7161,3
7168,7
7175,10
7182,12
7189,12
7196,13
7203,12
7210,10
7218,9
7226,8
7234,8
7242,7
7250,7
7258,7
7266,8
7273,8
7281,8
7289,9
7297,9
7304,10
7312,10
7319,11
7326,11
7333,12
7340,12
7348,13
7355,14
7362,15
7369,16
7376,17
7383,17
7390,18
7398,18
7406,18
7413,17
7420,14
7428,12
7436,8
7443,2
7451,5
7459,13
7467,22
7475,31
7483,40
7491,49
7499,44
7506,38
7514,37
7522,36
7530,32
7538,28
7545,22
7552,16
7559,8
7566,0
7574,9
7581,5
7588,1
7596,2
7603,5
7610,8
7617,10
7625,12
7632,15
7639,15
7646,16
7653,16
7661,14
7668,13
