time(ms),cc1Val(0-127)
1284,7
1285,7
1287,6
1289,5
1291,4
1293,4
1295,3
1297,2
1298,2
1300,0
1302,0
1304,0
1306,0
1308,0
1310,0
1312,0
1313,0
1315,0
1317,0
1319,0
1321,0
1322,0
1324,0
1326,0
1328,0
1330,0
1332,0
1333,0
1335,0
1337,0
1339,0
1341,0
1343,0
1344,0
1346,0
1348,0
1350,0
1352,0
1354,0
1356,0
1358,0
1359,0
1361,0
1363,0
1364,0
1366,0
1368,0
1370,0
1372,0
1374,0
1375,0
1377,0
1379,0
1381,0
1383,0
1385,0
1387,0
1389,0
1390,0
1392,0
1394,0
1396,0
1398,0
1400,0
1402,0
1405,0
1408,0
1410,0
1412,0
1414,0
1417,0
1420,0
1423,0
1426,0
1428,0
1430,0
1432,0
1434,0
1437,0
1438,0
1440,0
1442,0
1444,0
1446,0
1448,0
1450,0
1452,0
1455,0
1457,0
1459,0
1461,0
1463,0
1466,0
1468,0
1471,0
1474,0
1477,0
1479,0
1481,0
1482,0
1484,0
1485,0
1487,0
1489,0
1491,0
1492,0
1494,0
1496,0
1498,0
1501,0
1503,0
1504,0
1505,0
1507,0
1509,0
1511,0
1513,0
1515,0
1517,0
1519,0
1521,0
1523,0
1524,0
1526,0
1528,1
1530,2
1531,4
1533,5
1535,7
1537,8
1539,10
1541,12
1543,14
1545,16
1547,17
1549,19
1551,20
1553,22
1555,24
1557,25
1559,27
1561,28
1563,29
1565,29
1566,30
1568,30
1570,31
1572,31
1574,32
1576,32
1578,33
1580,33
1582,34
1584,35
1586,35
1588,36
1590,36
1592,37
1594,37
1596,38
1598,38
1600,38
1602,39
1604,39
1606,39
1608,39
1610,40
1612,41
1614,41
1616,42
1618,43
1620,44
1622,44
1624,46
1626,48
1629,50
1631,52
1634,53
1637,55
1639,56
1641,59
1643,61
1645,64
1647,67
1649,69
1651,71
1654,72
1656,74
1658,75
1660,78
1662,80
1664,81
1665,83
1667,83
1669,84
1671,85
1672,86
1674,87
1675,88
1677,89
1679,89
1680,89
1682,90
1684,90
1686,89
1687,89
1689,89
1691,89
1693,88
1695,88
1697,88
1699,87
1701,86
1703,86
1705,84
1707,83
1709,82
1711,81
1713,80
1715,79
1717,77
1719,76
1721,75
1723,73
1726,71
1728,69
1730,67
1733,65
1735,64
1738,62
1740,59
1742,56
1744,54
1746,51
1748,48
1750,46
1752,44
1754,42
1756,39
1758,37
1760,35
1762,34
1764,32
1766,30
1768,29
1770,27
1771,26
1773,25
1775,24
1777,23
1779,22
1782,21
1784,19
1786,18
1788,17
1789,16
1794,15
1796,15
1798,14
1800,13
1801,12
1803,11
1806,11
1807,10
1808,10
1809,9
1811,9
1812,9
1815,8
1817,8
1820,7
1822,7
1825,7
1828,6
1830,6
1832,5
1835,5
1837,5
1840,4
1842,4
1845,3
1847,2
1849,1
1851,1
1854,0
1855,0
1857,0
1859,0
1861,0
1863,0
1865,0
1867,0
1869,0
1872,0
1874,0
1876,0
1878,0
1881,0
1883,0
1886,0
1888,0
1890,0
1892,0
1895,0
1897,0
1900,0
1903,0
1905,0
1908,0
1910,0
1912,0
1914,0
1916,0
1918,0
1920,0
1922,0
1925,0
1927,0
1930,0
1932,0
1934,0
1936,0
1939,0
1941,0
1944,0
1946,0
1948,0
1950,0
1952,0
1953,0
1955,0
1957,0
1959,0
1961,0
1963,0
1965,0
1967,0
1969,0
1971,0
1973,0
1975,0
1977,0
1979,0
1981,0
1983,0
1985,0
1987,0
1989,0
1991,0
1993,0
1995,0
1997,0
1999,0
2001,0
2003,0
2005,0
2007,0
2009,0
2011,0
2013,0
2016,0
2018,0
2020,0
2022,0
2024,0
2025,0
2027,0
2029,0
2031,0
2033,0
2035,0
2037,0
2039,0
2041,0
2043,0
2045,0
2047,0
2049,0
2051,0
2053,0
2055,0
2057,0
2059,0
2061,0
2062,0
2064,0
2066,0
2067,0
2069,0
2071,0
2073,0
2075,0
2077,0
2079,0
2081,0
2082,0
2084,0
2085,0
2086,0
2088,0
2090,0
2092,0
2094,0
2096,0
2098,0
2100,0
2102,0
2104,0
2106,0
2108,0
2110,0
2112,0
2114,0
2116,0
2118,0
2120,0
2122,0
2124,0
2126,0
2128,0
2130,0
2132,0
2134,0
2136,0
2138,0
2140,0
2141,0
2143,0
2146,0
2148,0
2150,0
2152,0
2155,0
2157,0
2159,0
2161,0
2163,0
2165,0
2167,0
2169,0
2171,0
2173,0
2175,0
2177,0
2179,0
2181,0
2183,0
2185,0
2187,0
2189,2
2191,4
2193,6
2195,9
2197,11
2199,13
2201,16
2203,18
2205,20
2207,22
2209,24
2211,26
2213,28
2214,30
2217,32
2220,34
2222,35
2224,37
2226,38
2228,40
2230,41
2232,43
2234,45
2236,47
2238,49
2240,50
2242,51
2244,52
2246,53
2248,55
2250,56
2251,57
2254,58
2256,60
2258,60
2260,61
2262,62
2264,63
2266,63
2268,64
2269,65
2271,66
2273,67
2275,67
2277,68
2279,69
2281,70
2283,70
2285,71
2287,72
2289,73
2291,74
2294,75
2295,76
2297,77
2299,78
2301,79
2303,80
2305,80
2307,81
2309,82
2311,83
2313,84
2314,85
2316,86
2318,86
2320,86
2323,86
2324,86
2326,87
2328,87
2330,87
2332,87
2333,86
2335,86
2337,85
2339,84
2341,83
2343,82
2345,81
2347,80
2349,79
2352,78
