time(ms),cc1Val(0-127)
2036,1
2039,1
2043,1
2047,1
2051,2
2055,2
2059,2
2063,2
2067,2
2070,2
2073,2
2076,3
2079,3
2082,3
2085,3
2088,3
2091,4
2094,4
2097,4
2100,4
2103,5
2107,5
2110,6
2113,6
2116,7
2120,7
2123,8
2126,9
2130,9
2133,10
2136,11
2139,12
2142,12
2145,13
2149,13
2153,14
2156,15
2159,15
2162,16
2165,16
2169,17
2173,18
2176,18
2179,19
2182,20
2185,20
2188,21
2191,22
2194,24
2198,25
2201,27
2205,28
2208,30
2211,32
2214,34
2217,37
2220,40
2225,42
2228,44
2231,47
2235,50
2238,52
2243,55
2245,57
2248,60
2251,62
2254,64
2257,67
2260,69
2263,71
2266,73
2269,75
2272,77
2275,78
2280,80
2284,82
2288,83
2293,85
2296,85
2300,86
2305,87
2309,87
2313,88
2317,87
2321,87
2325,86
2329,84
2332,82
2335,79
2338,77
2342,75
2346,71
2350,68
2355,65
2359,61
2363,58
2367,55
2371,52
2376,50
2380,48
2385,46
2388,44
2391,42
2394,42
2397,41
2400,40
2403,38
2407,37
2410,36
2413,35
2416,34
2419,32
2423,31
2427,29
2432,27
2436,26
2440,24
2445,23
2449,22
2452,21
2455,19
2458,18
2461,17
2464,16
2467,14
2470,13
2473,12
2476,11
2479,10
2483,8
2487,7
2492,6
2496,5
2499,4
2502,3
2505,2
2508,1
2511,0
2514,1
2517,1
2520,2
2523,3
2526,4
2529,4
2532,5
2535,5
2539,6
2542,7
2545,8
2549,9
2553,10
2557,10
2561,11
2565,13
2568,14
2572,15
2575,16
2579,18
2583,20
2587,21
2591,23
2595,25
2599,27
2603,28
2608,30
2612,31
2616,33
2620,34
2624,35
2628,36
2633,37
2637,38
2641,39
2645,40
2649,40
2653,42
2657,43
2661,43
2665,45
2669,46
2672,48
2675,49
2678,50
2681,52
2684,53
2687,54
2691,56
2694,57
2697,58
2700,59
2703,60
2706,61
2709,62
2713,62
2716,63
2719,64
2722,64
2726,65
2729,65
2732,66
2735,66
2739,67
2743,67
2747,68
2751,70
2754,71
2757,72
2761,73
2764,74
2767,75
2771,77
2774,78
2777,80
2780,81
2783,82
2786,83
2789,83
2793,84
2796,85
2800,85
2803,85
2806,85
2810,84
2813,84
2816,83
2819,82
2822,80
2825,78
2829,76
2832,75
2836,73
2839,71
2843,69
2846,67
2849,65
2853,62
2856,59
2859,56
2863,54
2866,51
2869,47
2873,44
2877,40
2881,37
2885,34
2890,30
2894,28
2898,26
2903,24
2906,21
2910,19
2915,17
2919,15
2923,14
2927,12
2931,10
2935,9
2940,7
2944,6
2949,5
2953,4
2958,4
2962,3
2966,3
2970,2
2974,1
2979,0
2983,1
2987,2
2991,3
2995,4
3000,5
3004,6
3008,7
3013,8
3017,8
3021,8
3025,9
3029,9
3034,9
3038,9
3043,10
3047,10
3051,10
3056,11
3061,12
3065,12
3069,13
3073,14
3078,15
3083,16
3087,17
3090,18
3094,19
3098,21
3102,22
3106,22
3110,24
3114,25
3119,26
3123,27
3127,29
3132,31
3136,33
3140,34
3144,36
3149,39
3153,41
3158,43
3162,45
3166,48
3170,51
3174,53
3179,55
3183,58
3187,61
3191,64
3195,67
3200,70
3204,73
3208,76
3212,79
3217,82
3221,84
3226,86
3231,88
3235,89
3239,91
3243,92
3247,92
3251,92
3255,92
3259,92
3263,92
3267,91
3271,91
3275,90
3279,89
3283,88
3288,87
3292,86
3296,85
3301,83
3305,82
3310,80
3314,79
3317,77
3321,75
3324,72
3328,71
3332,69
3336,67
3340,65
3343,63
3347,61
3351,59
3355,57
3359,55
3363,53
3367,52
3371,50
3375,47
3379,45
3383,43
3387,41
3391,38
3395,36
3399,34
3404,32
3408,30
3412,28
3416,26
3421,25
3425,23
3429,21
3434,20
3438,18
3442,16
3446,15
3451,13
3455,11
3459,10
3463,8
3468,5
3471,4
3475,3
3478,1
3481,1
3485,2
3489,3
3493,4
3497,6
3501,8
3505,9
3509,11
3512,12
3515,14
3518,16
3521,18
3524,19
3528,21
3531,23
3535,24
3538,25
3542,27
3545,28
3548,29
3552,30
3555,31
3558,32
3562,33
3565,34
3569,35
3573,35
3577,36
3581,37
3585,38
3590,39
3595,39
3599,40
3604,41
3608,41
3612,42
3616,43
3620,45
3624,46
3627,47
3631,49
3636,51
3639,52
3642,54
3645,55
3648,57
3651,58
3654,59
3657,60
3660,61
3663,62
3666,62
3669,62
3672,63
3675,63
3678,63
3681,64
3684,64
3687,64
3691,64
3695,65
3698,65
3702,66
3706,66
3710,67
3714,67
3719,67
3723,68
3727,68
3731,68
3735,68
3739,67
3743,66
3747,66
3750,65
3754,64
3758,63
3762,62
3766,61
3769,60
3773,59
3777,58
3781,57
3785,56
3789,55
3793,54
3797,53
3801,51
3805,50
3809,49
3813,47
3817,44
3821,42
3827,40
3829,37
3833,34
3836,30
3841,27
3845,24
3848,21
3851,17
3855,14
3858,12
3862,10
3866,8
3870,7
3874,6
3878,5
3882,4
3886,4
3890,3
3894,3
3898,2
3902,2
3907,1
3911,0
3915,1
3919,2
3923,3
3927,4
3931,5
3936,6
3940,7
3944,9
3948,10
3952,11
3956,11
3960,12
3964,13
3968,14
3973,15
3977,15
3982,16
3986,18
3990,19
3994,20
3998,21
4002,22
4006,25
4010,27
4014,29
4017,31
4021,34
4025,37
4029,39
4033,42
4037,44
4041,47
4044,50
4048,52
4052,54
4056,56
4060,59
4064,61
4068,63
4073,65
4077,67
4080,70
4083,72
4086,75
4089,78
4093,80
4096,82
4099,84
4103,86
4106,88
4109,90
4112,92
4115,93
4118,94
4122,95
4125,95
4128,96
4131,96
4134,97
4138,97
4141,97
4144,97
4147,96
4150,95
4153,95
4156,94
4159,94
4162,93
4165,91
4168,89
4172,87
4175,85
4179,84
4183,82
4188,80
4192,78
4196,74
4200,71
4203,68
4207,65
4211,63
4215,60
4219,56
4223,53
4226,51
4230,48
4234,45
4238,43
4243,41
4247,39
4251,36
4255,34
4259,31
4263,29
4267,26
4271,22
4275,19
4279,16
4283,12
4287,9
4290,5
4293,2
4296,0
4299,3
4302,6
4305,7
4308,9
4311,10
4314,11
4317,12
4320,12
4323,13
4326,13
4330,14
4333,15
4336,15
4339,16
4342,16
4345,17
4348,18
4351,18
4354,19
4357,19
4361,20
4364,20
4368,21
4372,22
4376,23
4379,23
4383,24
4387,25
4391,26
4395,26
4399,27
4403,28
4406,28
4409,29
4412,30
4415,30
4418,31
4421,31
4424,31
4428,32
4432,33
4436,34
4440,35
4443,36
4446,37
4449,38
4453,39
4457,40
4461,42
4465,43
4469,44
4473,46
4477,47
4480,48
4484,50
4488,51
4492,52
4496,54
4500,55
4504,56
4508,58
4513,59
4516,61
4519,62
4522,63
4525,65
4528,66
4531,67
4534,68
4537,69
4540,70
4543,71
4546,71
4549,72
4552,73
4556,73
4560,74
4564,74
4568,74
4572,74
4576,74
4580,73
4584,73
4588,72
4591,70
4595,69
4599,68
4603,66
4606,64
4611,62
4615,60
4619,58
4623,55
4627,52
4631,49
4636,46
4640,43
4644,40
4648,37
4651,33
4654,31
4657,28
4660,25
4664,23
4667,21
4670,18
4673,16
4676,14
4679,12
4682,11
4685,10
4688,9
4691,7
4694,6
4697,5
4700,5
4703,5
4706,5
4710,4
